study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
4,5,Efsitora,Efsitora + GLP-1 RA (QWINT-2),212,-1.3,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; insulin naive - flexible dose; interaction p=0.367; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,6,Efsitora,Degludec + GLP-1 RA (QWINT-2),214,-1.28,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; comparator degludec; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,7,Efsitora,Efsitora + no GLP-1 RA (QWINT-2),205,-1.38,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,8,Efsitora,Degludec + no GLP-1 RA (QWINT-2),207,-1.23,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,9,Efsitora,Efsitora + GLP-1 RA (QWINT-3),159,-0.71,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; basal insulin switch; *p<0.05 vs comparator; interaction p=0.303; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,10,Efsitora,Degludec + GLP-1 RA (QWINT-3),80,-0.49,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; comparator degludec; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,11,Efsitora,Efsitora + no GLP-1 RA (QWINT-3),388,-0.59,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,12,Efsitora,Degludec + no GLP-1 RA (QWINT-3),199,-0.52,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,13,Efsitora,Efsitora + GLP-1 RA (QWINT-4),56,-1.12,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; basal bolus insulin; interaction p=0.348; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,14,Efsitora,Glargine + GLP-1 RA (QWINT-4),60,-1,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; comparator glargine; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,15,Efsitora,Efsitora + no GLP-1 RA (QWINT-4),280,-1.06,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,16,Efsitora,Glargine + no GLP-1 RA (QWINT-4),276,-1.09,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",HbA1c change; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,17,Efsitora,Efsitora + GLP-1 RA (QWINT-1) - body weight,35,3.13,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); interaction p=0.126; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,18,Efsitora,Glargine + GLP-1 RA (QWINT-1) - body weight,31,3.78,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,19,Efsitora,Efsitora + no GLP-1 RA (QWINT-1) - body weight,322,3.96,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); *p<0.05 vs comparator; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,20,Efsitora,Glargine + no GLP-1 RA (QWINT-1) - body weight,330,3.27,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,21,Efsitora,Efsitora + GLP-1 RA (QWINT-2) - body weight,220,3.45,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); interaction p=0.055; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,22,Efsitora,Degludec + GLP-1 RA (QWINT-2) - body weight,222,3.8,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,23,Efsitora,Efsitora + no GLP-1 RA (QWINT-2) - body weight,220,3.75,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,24,Efsitora,Degludec + no GLP-1 RA (QWINT-2) - body weight,216,3.28,,,52,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,25,Efsitora,Efsitora + GLP-1 RA (QWINT-3) - body weight,175,2.96,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); *p<0.05 vs comparator; interaction p=0.004; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,26,Efsitora,Degludec + GLP-1 RA (QWINT-3) - body weight,88,1.91,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,27,Efsitora,Efsitora + no GLP-1 RA (QWINT-3) - body weight,418,1.99,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,28,Efsitora,Degludec + no GLP-1 RA (QWINT-3) - body weight,215,2.33,,,78,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,29,Efsitora,Efsitora + GLP-1 RA (QWINT-4) - body weight,59,2.52,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); interaction p=0.166; HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,30,Efsitora,Glargine + GLP-1 RA (QWINT-4) - body weight,61,1.81,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,31,Efsitora,Efsitora + no GLP-1 RA (QWINT-4) - body weight,288,2.72,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
4,32,Efsitora,Glargine + no GLP-1 RA (QWINT-4) - body weight,283,2.69,,,26,Phase 3,"QWINT-1, QWINT-2, QWINT-3, QWINT-4",Body weight change (kg); HbA1c (%) change from baseline (panel a) and body weight (kg) change from baseline (panel b); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1746-P/168503/1746-P-Post-Hoc-Analysis-of-Efficacy-and-Safety
5,1,,IcoSema (once-weekly insulin icodec + semaglutide),,,,,40,,COMBINE 4,"Panel B: Estimated frequency achieving clinically meaningful change (>0.5 SD increase) in DTSQs total treatment satisfaction score ~55% (bar). Item-level frequencies (approx from bars): Satisfaction with current treatment ~52%, Convenience ~62%, Flexibility ~62%, Satisfaction with diabetes understanding ~58%, Willingness to recommend ~52%, Satisfaction to continue trial treatment ~50%. Panel A ETDs (IcoSema-Glargine U100) all favor IcoSema.; Change from baseline to week 40 in DTSQs treatment satisfaction items (score 0-6 per item; total 0-36); and estimated frequency (%) of achieving >0.5 SD increase from baseline (clinically meaningful change); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1752-P/168322/1752-P-Improved-Treatment-Satisfaction-with-Once"
5,2,,Glargine U100 (once-daily),,,,,40,,COMBINE 4,"Panel B: Estimated frequency achieving clinically meaningful change in DTSQs TTSS ~43%. Item-level (approx): Satisfaction with current treatment ~42%, Convenience ~46%, Flexibility ~48%, Satisfaction with diabetes understanding ~50%, Willingness to recommend ~40%, Satisfaction to continue trial treatment ~38%. Comparator arm.; Change from baseline to week 40 in DTSQs treatment satisfaction items (score 0-6 per item; total 0-36); and estimated frequency (%) of achieving >0.5 SD increase from baseline (clinically meaningful change); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1752-P/168322/1752-P-Improved-Treatment-Satisfaction-with-Once"
6,1,,Humalog (Lispro),415,,,,26,Phase 3,THDB0206 (1762-P),"SMBG mmol/L at week 26: Fasting ~7.75*; 1h-post breakfast ~10.55**; 2h-post breakfast ~9.80; premeal ~7.75; 1h-post lunch ~9.00***; 2h-post lunch ~8.85**; premeal ~8.70; 1h-post dinner ~9.50**; 2h-post dinner ~9.20*; bedtime ~9.05; Self-Monitored Blood Glucose (SMBG, mmol/L) at 9 timepoints, week 26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1762-P/168063/1762-P-THDB0206-Injection-BioChaperone-Lispro"
6,2,,THDB0206 (BioChaperone Lispro),623,,,,26,Phase 3,THDB0206 (1762-P),"SMBG mmol/L at week 26: Fasting ~7.45; 1h-post breakfast ~9.85; 2h-post breakfast ~9.50; premeal ~7.60; 1h-post lunch ~8.30; 2h-post lunch ~8.35; premeal ~8.50; 1h-post dinner ~8.95; 2h-post dinner ~8.80; bedtime ~9.05; Self-Monitored Blood Glucose (SMBG, mmol/L) at 9 timepoints, week 26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1762-P/168063/1762-P-THDB0206-Injection-BioChaperone-Lispro"
7,1,,Placebo/HTD1801 1000 mg BID (SYMPHONY-1),136,-0.6,0.1,8.5,24,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); double-blind phase Δ at Week 24; baseline SD 0.7; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,2,,Placebo/HTD1801 1000 mg BID (SYMPHONY-1),136,-1.3,0.1,8.5,52,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); open-label extension Δ at Week 52; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,3,,HTD1801 1000 mg BID (SYMPHONY-1),271,-1.3,0.1,8.5,24,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); ***p<0.0001 vs placebo; baseline SD 0.8; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,4,,HTD1801 1000 mg BID (SYMPHONY-1),271,-1.2,0.1,8.5,52,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); open-label extension; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,5,,Placebo/HTD1801 1000 mg BID (SYMPHONY-2),184,-0.7,0.1,8.5,24,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); add-on to metformin; baseline SD 0.8; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,6,,Placebo/HTD1801 1000 mg BID (SYMPHONY-2),184,-1.2,0.1,8.5,52,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); open-label extension; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,7,,HTD1801 1000 mg BID (SYMPHONY-2),365,-1.2,0.05,8.6,24,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); ***p<0.0001 vs placebo; baseline SD 0.8; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
7,8,,HTD1801 1000 mg BID (SYMPHONY-2),365,-1.1,0.1,8.6,52,Phase 3,SYMPHONY-1; SYMPHONY-2,LSM (SE); open-label extension; Change from baseline in HbA1c (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1823-P/168049/1823-P-Long-Term-Safety-and-Efficacy-of-HTD1801-in
