study_ind,arm_ind,compound,treat,n,y,se,base,weeks,Phase,study,comments
2,5,,"RAY1225 12
  mg",41,-14.13,,91.2,24,Phase 2,REBUILDING-1,"LSM change from baseline with 95%
  CI: -15.67 to -12.58; difference vs placebo -11.17 (95% CI -12.92 to -9.42),
  p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,6,,"RAY1225 15
  mg",8,-14.92,,101.18,24,Phase 2,REBUILDING-1,"LSM change from baseline with 95%
   CI: -18.08 to -11.76; difference vs placebo -11.97 (95% CI -15.23 to -8.70),
  p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
2,7,,"RAY1225 18
  mg",8,-21.18,,95.23,24,Phase 2,REBUILDING-1,"LSM change from baseline with 95%
  CI: -24.35 to -18.01; difference vs placebo -18.22 (95% CI -21.48 to -14.97),
  p<0.001.; Body weight, % change
  from baseline at Week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,1,,2.0 mg group,,,,,24,,3090-LB,"Panel
   A shows LS mean % body-weight change over time with SE bars, but exact Week 24 mean value is not
  numerically printed. Week 24 responder rates: Panel B (primary, non-responder imputation)
  >=5/10/15/20% = 90.2/68.6/35.3/17.6; Panel C (sensitivity, multiple imputation) =
  92.2/70.6/37.1/19.0.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,2,,"4.0 mg group (ID
  0.5mg)",,,,,24,,3090-LB,"Panel A exact Week 24 mean %
  change not numerically printed. Week 24 responder rates: Panel B >=5/10/15/20% =
  88.0/84.0/64.0/24.0; Panel C = 95.9/89.8/66.4/24.0.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,3,,"4.0 mg group (ID
  1.0mg)",,,,,24,,3090-LB,"Panel A exact Week 24 mean %
  change not numerically printed. Week 24 responder rates: Panel B >=5/10/15/20% =
  92.0/84.0/72.0/44.0; Panel C = 96.0/88.0/76.0/48.0.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,4,,"4.0 mg group
  Total",,,,,24,,3090-LB,"Panel A exact Week 24 mean %
  change not numerically printed. Week 24 responder rates: Panel B >=5/10/15/20% =
  90.0/84.0/68.0/34.0; Panel C = 95.9/88.4/71.4/36.0.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,5,,"6.0 mg
  group",,,,,24,,3090-LB,"Panel A exact Week 24 mean %
  change not numerically printed. Week 24 responder rates: Panel B >=5/10/15/20% =
  85.2/75.9/59.3/44.4; Panel C = 98.1/88.3/68.6/48.4.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
3,6,,"Placebo
  group",,,,,24,,3090-LB,"Panel A exact Week 24 mean %
  change not numerically printed. Week 24 responder rates: Panel B >=5/10/15/20% = 22.0/8.0/2.0/0.0;
   Panel C = 23.6/8.3/2.0/0.0.; Mean percentage
  change in body weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
4,1,Mazdutide,"Mazdutide 6
  mg",174,48,,,32,"Phase
  3b",DREAMS-3,"Primary endpoint (efficacy
  estimand): proportion achieving both HbA1c <7.0% and WL ≥10% at week 32; 95% CI 40.4 to 55.7.
  Treatment-policy estimand shown as 49.2% (41.4 to 57.0).; Proportion of patients achieving both HbA1c <7.0% and weight loss ≥10% at
  week 32 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1226-OR/167125/1226-OR-Mazdutide-vs-Semaglutide-in-Chinese-Adults"
4,2,Mazdutide,"Semaglutide 1
  mg",174,21,,,32,"Phase
  3b",DREAMS-3,"Primary endpoint (efficacy
  estimand): proportion achieving both HbA1c <7.0% and WL ≥10% at week 32; 95% CI 14.9 to 27.1.
  Treatment-policy estimand shown as 20.3% (14.3 to 26.4).; Proportion of patients achieving both HbA1c <7.0% and weight loss ≥10% at
  week 32 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1226-OR/167125/1226-OR-Mazdutide-vs-Semaglutide-in-Chinese-Adults"
5,1,Semaglutide,"Sema + trevo 200 (LLM at
  baseline)",47,4.3,,,26,,1230-OR,"LS mean difference vs sema:
  4.30% (95% CI 2.47, 6.13).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,2,Semaglutide,"Sema + trevo 400 (LLM at
  baseline)",36,3.69,,,26,,1230-OR,"LS mean difference vs sema:
  3.69% (95% CI 1.74, 5.64).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,3,Semaglutide,"Sema + trevo 400 + garet (LLM at
  baseline)",21,4.55,,,26,,1230-OR,"LS mean difference vs sema:
  4.55% (95% CI 2.26, 6.84).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,4,Semaglutide,"Sema (LLM at
  baseline)",51,,,,26,,1230-OR,"Reference arm for 'vs sema'
  comparisons; no numeric LS mean difference value shown for this arm.; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,5,Semaglutide,"Sema + trevo 200
  (without LLM at baseline)",61,2.18,,,26,,1230-OR,"LS mean
  difference vs sema: 2.18% (95% CI 0.53, 3.83).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,6,Semaglutide,"Sema + trevo 400 (without LLM at
  baseline)",60,1.95,,,26,,1230-OR,"LS mean difference vs sema:
  1.95% (95% CI 0.31, 3.59).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,7,Semaglutide,"Sema + trevo 400 + garet (without LLM at
  baseline)",50,4.17,,,26,,1230-OR,"LS mean difference vs sema:
  4.17% (95% CI 2.45, 5.89).; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
5,8,Semaglutide,"Sema (without LLM at
  baseline)",60,,,,26,,1230-OR,"Reference arm for 'vs sema'
  comparisons; no numeric LS mean difference value shown for this
  arm.; LS mean difference vs semaglutide in percent
  change from baseline in total lean mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
6,1,,"Orforglipron 6 mg once daily
  (Prediabetes)",246,1.19,0.17,2.1,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 2.10 (1.27), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -24.4 (2.53), N=252, baseline geometric mean (CV%) 2.30 (54.40); HOMA2-B percent CFB
  21.9 (1.75), N=258, baseline 152.0 (26.71).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,2,,"Orforglipron 12 mg once daily
  (Prediabetes)",253,1.29,0.19,2.29,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 2.29 (2.03), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -27.2 (2.42), N=256, baseline geometric mean (CV%) 2.29 (54.33); HOMA2-B percent CFB
  15.8 (1.64), N=258, baseline 154.4 (27.42).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,3,,"Orforglipron 36 mg once daily
  (Prediabetes)",252,1.23,0.19,2.29,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 2.29 (1.82), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -31.8 (2.48), N=260, baseline geometric mean (CV%) 2.33 (58.57); HOMA2-B percent CFB
  17.3 (1.88), N=265, baseline 152.3 (26.43).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,4,,"Placebo
  (Prediabetes)",335,0.72,0.18,2.35,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 2.35 (2.01), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -13.2 (2.62), N=340, baseline geometric mean (CV%) 2.21 (59.74); HOMA2-B percent CFB
  3.0 (1.28), N=344, baseline 150.1 (26.98), *.; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,5,,"Orforglipron 6 mg once daily
  (Normoglycemia)",435,0.57,0.15,3.76,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 3.76 (4.26), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -16.5 (2.28), N=458, baseline geometric mean (CV%) 1.83 (57.71); HOMA2-B percent CFB
  10.1 (1.21), N=465, baseline 163.3 (26.80).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,6,,"Orforglipron 12 mg once daily
  (Normoglycemia)",440,0.86,0.15,3.36,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 3.36 (2.87), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -20.8 (2.28), N=460, baseline geometric mean (CV%) 1.82 (56.77); HOMA2-B percent CFB
  10.5 (1.41), N=462, baseline 165.9 (27.56).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,7,,"Orforglipron 36 mg once daily
  (Normoglycemia)",445,1.22,0.18,3.51,72,,ATTAIN-1,"Matsuda Index (during
  OGTT): baseline mean(SD) 3.51 (5.55), CFB model-based estimate(SE), ***. Also reported: HOMA2-IR
  percent CFB -31.2 (2.19), N=459, baseline geometric mean (CV%) 1.86 (56.65); HOMA2-B percent CFB
  9.2 (1.28), N=465, baseline 165.9 (27.50).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
6,8,,"Placebo
  (Normoglycemia)",576,-0.31,0.12,3.28,72,,ATTAIN-1,"Matsuda Index (during
   OGTT): baseline mean(SD) 3.28 (3.21), CFB model-based estimate(SE), **. Also reported: HOMA2-IR
  percent CFB -1.5 (2.18), N=596, baseline geometric mean (CV%) 1.91 (56.63); HOMA2-B percent CFB
  1.8 (1.02), N=604, baseline 167.0
  (27.18).; Matsuda Index (during OGTT)
  change from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
7,1,Mazdutide,Placebo,,,,,,,1733-P,"No
  numeric efficacy point labels shown on curves; model-based estimates ±SE only. Baseline text
  visible: eGFR mean 90.4 (n=47) and UACR geometric mean 8.3 (n=46).; Absolute change in
   eGFR (mL/min/1.73 m^2) and percent change in UACR from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
7,2,Mazdutide,"MAZ 3/6
  mg",32,,,,,,1733-P,"No numeric efficacy point labels
  shown on curves; model-based estimates ±SE only. Baseline text visible: eGFR mean 90.4 (n=32) and
  UACR geometric mean 7.8 (n=32).; Absolute change in
   eGFR (mL/min/1.73 m^2) and percent change in UACR from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
7,3,Mazdutide,"MAZ 10
  mg",47,,,,,,1733-P,"No numeric efficacy point labels
  shown on curves; model-based estimates ±SE only. Baseline text visible: eGFR mean 91.7 (n=47) and
  UACR geometric mean 8.2 (n=47).; Absolute change in
   eGFR (mL/min/1.73 m^2) and percent change in UACR from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
7,4,Mazdutide,"MAZ 16
  mg",51,,,,,,1733-P,"No numeric efficacy point labels
  shown on curves; model-based estimates ±SE only. Baseline text visible: eGFR mean 90.0 (n=51) and
  UACR geometric mean 9.9 (n=51).; Absolute change in
   eGFR (mL/min/1.73 m^2) and percent change in UACR from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
8,1,,"ATX (Day
  56)",15,,,,,"Phase
  1b",1782-P,"Relative change (%) and p-values:
   adiponectin 42.7 (p=0.0037); liver fat -14.4 (p=0.0391); visceral adipose tissue -0.03
  (p=0.9803); resting metabolic rate 7.04 (p=0.0066).; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
8,2,,"Placebo (Day
  56)",8,,,,,"Phase
  1b",1782-P,"Relative change (%) and p-values:
  adiponectin -3.3 (p=0.8588); liver fat -8.39 (p=0.3787); visceral adipose tissue 0.80 (p=0.6454);
  resting metabolic rate 5.69 (p=0.1099).; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
8,3,,"ATX (Day
  102)",7,,,,,"Phase
  1b",1782-P,"Relative change (%) and p-values:
   adiponectin 88.6 (p=0.0108); liver fat -32.4 (p=0.0125); visceral adipose tissue -4.7 (p=0.0429);
   resting metabolic rate not determined.; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
9,1,,Placebo,,-2.38,,,16,"Phase
  2",2608-P,"Panel A
  end-of-treatment value label; error bars shown but numeric SE/SD not
  provided.; Percentage weight loss change from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
9,2,,"DA-302168S 5
  mg",,-5.59,,,16,"Phase
  2",2608-P,"Panel A end-of-treatment value
  label; error bars shown but numeric SE/SD not provided.; Percentage weight loss change from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
9,3,,"DA-302168S 10
  mg",,-8.06,,,16,"Phase
  2",2608-P,"Panel A end-of-treatment value
  label; error bars shown but numeric SE/SD not provided.; Percentage weight loss change from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
9,4,,"DA-302168S 20
  mg",,-9.27,,,16,"Phase
  2",2608-P,"Panel A end-of-treatment value
  label; error bars shown but numeric SE/SD not provided.; Percentage weight loss change from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
9,5,,"DA-302168S 30
  mg",,-10.22,,,16,"Phase
  2",2608-P,"Panel A end-of-treatment value
  label; error bars shown but numeric SE/SD not provided.; Percentage weight loss change from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
10,1,MDR-001,Placebo,62,-2.6,,,24,,2620-P,"Panel A;
  body weight change from baseline, LSM (+/- SE).; Percentage change from
  baseline in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
10,2,MDR-001,"90mg
  BID",58,-8,,,24,,2620-P,"Panel A; body weight change from
  baseline, LSM (+/- SE).; Percentage change from
  baseline in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
10,3,MDR-001,"120mg
  BID",53,-9.6,,,24,,2620-P,"Panel A; body weight change from
  baseline, LSM (+/- SE).; Percentage change from
  baseline in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
10,4,MDR-001,"150mg
  BID",58,-9.3,,,24,,2620-P,"Panel A; body weight change from
  baseline, LSM (+/- SE).; Percentage change from
  baseline in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
10,5,MDR-001,"180mg
  BID",54,-9.1,,,24,,2620-P,"Panel A; body weight change from
  baseline, LSM (+/- SE).; Percentage change from
  baseline in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
11,1,,Placebo,,-3.61,,,,,2636-P,"Panel A
   mean change from baseline in body weight (%); error bars shown but numeric SE not
  labeled.; Body weight change from baseline (%) at
  end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
11,2,,"Efsubaglutide alfa 5 mg
  QW",,-7.95,,,,,2636-P,"Panel A mean change from
  baseline in body weight (%); error bars shown but numeric SE not
  labeled.; Body weight change from baseline (%) at
  end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
11,3,,"Efsubaglutide alfa 10 mg
  QW",,-9.99,,,,,2636-P,"Panel A mean change from
  baseline in body weight (%); error bars shown but numeric SE not
  labeled.; Body weight change from baseline (%) at
  end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
11,4,,"Efsubaglutide alfa 20 mg
  QW",,-10.58,,,,,2636-P,"Panel A mean change from
  baseline in body weight (%); error bars shown but numeric SE not
  labeled.; Body weight change from baseline (%) at
  end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
11,5,,"Efsubaglutide alfa 20 mg
  Q2W",,-9.7,,,,,2636-P,"Panel A mean change from
  baseline in body weight (%); error bars shown but numeric SE not
  labeled.; Body weight change from baseline (%) at
  end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
12,1,,"Aleniglipron 120
  mg",,-13.1,,,36,Phase 2,"ACCESS
  II","LS mean % body weight change;
  value label at Week 36: -13.1 (-16.8, -9.4), likely 95% CI.; Least squares mean change in body weight (%) from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
12,2,,"Aleniglipron 180
  mg",,-13.3,,,36,Phase 2,"ACCESS
  II","LS mean % body weight change;
  value label at Week 36: -13.3 (-16.6, -10.0), likely 95% CI.; Least squares mean change in body weight (%) from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
12,3,,"Aleniglipron 240
  mg",,-14.2,,,36,Phase 2,"ACCESS
  II","LS mean % body weight change;
  value label at Week 36: -14.2 (-17.7, -10.8), likely 95%
  CI.; Least squares mean change in body weight (%) from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
12,4,,Placebo,,1,,,36,Phase 2,"ACCESS
  II","LS mean % body
  weight change; value label at Week 36: 1.0 (-2.4, 4.5), likely 95% CI.; Least squares mean change in body weight (%) from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2637-P/167995/2637-P-Safety-Tolerability-and-Efficacy-of"
13,1,Semaglutide,"Sema + trevo 400 mg + gareto vs.
  Sema",,,,,,,2649-P,"Shown as Cohen's D points with
   95% CI in two panels (Total Fat Mass and Total Lean Mass), with two metrics per panel: z-score
  change-from-baseline (blue) and percent change-from-baseline (red). Exact numeric Cohen's D values
   are not printed next to points.; Cohen's D standardized mean difference versus
  semaglutide for change-from-baseline body composition outcomes (Total Fat Mass and Total Lean
  Mass), shown for z-score and percent-change metrics.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
13,2,Semaglutide,"Sema + trevo 400 mg vs.
  Sema",,,,,,,2649-P,"Shown as Cohen's D points with
   95% CI in two panels (Total Fat Mass and Total Lean Mass), with two metrics per panel: z-score
  change-from-baseline (blue) and percent change-from-baseline (red). Exact numeric Cohen's D values
   are not printed next to points.; Cohen's D standardized mean difference versus
  semaglutide for change-from-baseline body composition outcomes (Total Fat Mass and Total Lean
  Mass), shown for z-score and percent-change metrics.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
13,3,Semaglutide,"Sema + trevo 200 mg vs.
  Sema",,,,,,,2649-P,"Shown as Cohen's D points with
   95% CI in two panels (Total Fat Mass and Total Lean Mass), with two metrics per panel: z-score
  change-from-baseline (blue) and percent change-from-baseline (red). Exact numeric Cohen's D values
   are not printed next to points.; Cohen's D standardized mean difference versus
  semaglutide for change-from-baseline body composition outcomes (Total Fat Mass and Total Lean
  Mass), shown for z-score and percent-change metrics.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
13,4,Semaglutide,"Sema (active
  comparator)",,,,,,,2649-P,"Comparator arm used as
  reference in all contrasts ('vs. Sema'); no standalone point estimate plotted for Sema in panel
  B.; Cohen's D standardized mean difference versus
  semaglutide for change-from-baseline body composition outcomes (Total Fat Mass and Total Lean
  Mass), shown for z-score and percent-change metrics.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2649-P/168277/2649-P-Population-Normed-Z-scores-for-Body"
