study_ind,arm_ind,abstract_id,compound,treat,n,y,se,base,weeks,Phase,study,source,comments
3,3,1227-OR,,"RAY1225 6
  mg",41,-12.68,,92.02,24,,1227-OR,figure,"LSM change from baseline in body
  weight % (95% CI: -14.17 to -11.19); estimated difference vs placebo -9.73 (95% CI: -11.47 to
  -7.98); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,4,1227-OR,,"RAY1225 9
  mg",41,-14.75,,94.03,24,,1227-OR,figure,"LSM change from baseline in body
  weight % (95% CI: -16.26 to -13.23); estimated difference vs placebo -11.79 (95% CI: -13.53 to
  -10.05); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,5,1227-OR,,"RAY1225 12
  mg",41,-14.13,,91.2,24,,1227-OR,figure,"LSM change from baseline in body
  weight % (95% CI: -15.67 to -12.58); estimated difference vs placebo -11.17 (95% CI: -12.92 to
  -9.42); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,6,1227-OR,,"RAY1225 15
  mg",8,-14.92,,101.18,24,,1227-OR,figure,"LSM change from baseline in body
  weight % (95% CI: -18.08 to -11.76); estimated difference vs placebo -11.97 (95% CI: -15.23 to
  -8.70); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,7,1227-OR,,"RAY1225 18
  mg",8,-21.18,,95.23,24,,1227-OR,figure,"LSM change from baseline in body
  weight % (95% CI: -24.35 to -18.01); estimated difference vs placebo -18.22 (95% CI: -21.48 to
  -14.97); p<0.001.; Body weight, % change from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,8,1227-OR,,"RAY1225 3 mg
  bi-weekly",,-9.73,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,9,1227-OR,,"RAY1225 6 mg
  bi-weekly",,-12.68,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,10,1227-OR,,"RAY1225 9 mg
  bi-weekly",,-14.75,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,11,1227-OR,,"RAY1225 12 mg
  bi-weekly",,-14.13,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,12,1227-OR,,"RAY1225 15 mg
  bi-weekly",,-14.92,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,13,1227-OR,,"RAY1225 18 mg
  bi-weekly",,-21.18,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean % body weight
  change from baseline at week 24; vs placebo all
  p<0.001.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
3,14,1227-OR,,Placebo,,-2.96,,,24,"Phase
  2",REBUILDING-1,abstract,"LS mean
   % body weight change from baseline at week 24.; Percent body weight change from baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1227-OR/167132/1227-OR-RAY1225-a-Biweekly-Biased-GLP-1-GIP-RA-for"
4,1,1672-P,,"ASC30 oral tablet 20 mg once daily (weekly
  titration)",,-5.4,,,13,Phase II,ASC30,abstract,"Week 13 dose-dependent
  placebo-adjusted weight reduction of 5.4%.; Body weight reduction (%)
  at Week 13 (placebo-adjusted); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1672-P/169112/1672-P-Oral-Small-Molecule-GLP-1-ASC30"
4,2,1672-P,,"ASC30 oral tablet 40 mg once daily (weekly
  titration)",,-7,,,13,Phase II,ASC30,abstract,"Week 13 dose-dependent
  placebo-adjusted weight reduction of 7.0%.; Body weight reduction (%)
  at Week 13 (placebo-adjusted); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1672-P/169112/1672-P-Oral-Small-Molecule-GLP-1-ASC30"
4,3,1672-P,,"ASC30 oral tablet 60 mg once daily (weekly
  titration)",,-7.7,,,13,Phase II,ASC30,abstract,"Week 13 dose-dependent
  placebo-adjusted weight reduction of
  7.7%.; Body weight reduction (%)
  at Week 13 (placebo-adjusted); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1672-P/169112/1672-P-Oral-Small-Molecule-GLP-1-ASC30"
4,4,1672-P,,Placebo,,,,,13,Phase II,ASC30,abstract,"Placebo arm
   is reported, but no arm-level numeric weight-change value is
  provided.; Body weight reduction (%)
  at Week 13 (placebo-adjusted); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1672-P/169112/1672-P-Oral-Small-Molecule-GLP-1-ASC30"
5,1,2816-LB,Ribupatide,"oral ribupatide 10
  mg",,6.7,,,26,"Phase
  2",2816-LB,abstract,"LS mean weight loss from baseline
  at W26: 6.7%; vs PBO p=0.0023 (treatment policy estimand).; Percentage change in body weight from baseline at week 26 (LS mean weight
  loss, %); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2816-LB/167269/2816-LB-Efficacy-and-Safety-of-Oral-Ribupatide"
5,2,2816-LB,Ribupatide,"oral ribupatide 25
  mg",,11.9,,,26,"Phase
  2",2816-LB,abstract,"LS mean weight loss from baseline
  at W26: 11.9%; vs PBO p<0.0001 (treatment policy estimand).; Percentage change in body weight from baseline at week 26 (LS mean weight
  loss, %); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2816-LB/167269/2816-LB-Efficacy-and-Safety-of-Oral-Ribupatide"
5,3,2816-LB,Ribupatide,"oral ribupatide 50
  mg",,11.4,,,26,"Phase
  2",2816-LB,abstract,"LS mean weight loss from baseline
  at W26: 11.4%; vs PBO p<0.0001 (treatment policy estimand).; Percentage change in body weight from baseline at week 26 (LS mean weight
  loss, %); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2816-LB/167269/2816-LB-Efficacy-and-Safety-of-Oral-Ribupatide"
5,4,2816-LB,Ribupatide,"placebo
  (PBO)",,2.1,,,26,"Phase
  2",2816-LB,abstract,"LS mean weight loss from
  baseline at W26: 2.1% (treatment policy estimand comparator).; Percentage change in body weight from baseline at week 26 (LS mean weight
  loss, %); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2816-LB/167269/2816-LB-Efficacy-and-Safety-of-Oral-Ribupatide"
6,1,2849-LB,Ecnoglutide,"ecnoglutide 2.4 mg once weekly
  (subcutaneous)",,-12.8,,,20,Phase 2,NCT07073417,abstract,"Least-squares mean
  percentage change in body weight: -12.8% (95% CI, -13.7 to -11.8).; Least-squares mean
  percentage change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2849-LB/167777/2849-LB-Efficacy-and-Safety-of-cAMP-Biased"
6,2,2849-LB,Ecnoglutide,"semaglutide 2.4 mg
  once weekly
  (subcutaneous)",,-9.5,,,20,Phase 2,NCT07073417,abstract,"Least-squares mean
  percentage change in body weight: -9.5% (95% CI, -10.4 to -8.5). Between-group P <
  0.0001.; Least-squares mean
  percentage change in body weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2849-LB/167777/2849-LB-Efficacy-and-Safety-of-cAMP-Biased"
7,1,3083-LB,,"Petrelintide (weekly s.c.; five dose levels, up to 16-week escalation then
  maintenance)",,-10.7,,,42,Phase 2,"ZUPREME
  1",abstract,"Mean body-weight
  reduction from baseline was reported as 'up to 10.7%' (efficacy estimand); compared vs placebo,
  p<0.001. Specific dose-arm value breakdown not provided.; Percent change in body weight from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3083-LB/167451/3083-LB-Petrelintide-a-Human-Amylin-Analog-for-the"
7,2,3083-LB,,"Placebo (weekly
  s.c.)",,-1.7,,,42,Phase 2,"ZUPREME
  1",abstract,"Mean body-weight reduction from
   baseline to Week 42 was 1.7% (efficacy estimand) in the placebo group.; Percent change in body weight from
  baseline; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3083-LB/167451/3083-LB-Petrelintide-a-Human-Amylin-Analog-for-the"
8,1,3090-LB,,2.0 mg group,,,,,24,Phase 2,3090-LB,figure,"Week
  24 responder rates shown as labeled values. Panel B (primary analysis; non-responder imputation):
  >=5% 90.2, >=10% 68.6, >=15% 35.3, >=20% 17.6. Panel C (sensitivity; multiple imputation): >=5%
  92.2, >=10% 70.6, >=15% 37.1, >=20% 19.0. Panel A error bars are SE, but numeric mean-change
  values are not printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,2,3090-LB,,"4.0 mg group (ID
  0.5mg)",,,,,24,Phase 2,3090-LB,figure,"Week 24 responder rates shown
  as labeled values. Panel B: >=5% 88.0, >=10% 84.0, >=15% 64.0, >=20% 24.0. Panel C: >=5% 95.9,
  >=10% 89.8, >=15% 66.4, >=20% 24.0. Panel A error bars are SE, but numeric mean-change values are
  not printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,3,3090-LB,,"4.0 mg group (ID
  1.0mg)",,,,,24,Phase 2,3090-LB,figure,"Week 24 responder rates shown
  as labeled values. Panel B: >=5% 92.0, >=10% 84.0, >=15% 72.0, >=20% 44.0. Panel C: >=5% 96.0,
  >=10% 88.0, >=15% 76.0, >=20% 48.0. Panel A error bars are SE, but numeric mean-change values are
  not printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,4,3090-LB,,"4.0 mg group
  Total",,,,,24,Phase 2,3090-LB,figure,"Week 24 responder rates shown
  as labeled values. Panel B: >=5% 90.0, >=10% 84.0, >=15% 68.0, >=20% 34.0. Panel C: >=5% 95.9,
  >=10% 88.4, >=15% 71.4, >=20% 36.0. Panel A error bars are SE, but numeric mean-change values are
  not printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,5,3090-LB,,"6.0 mg
  group",,,,,24,Phase 2,3090-LB,figure,"Week 24 responder rates shown
  as labeled values. Panel B: >=5% 85.2, >=10% 75.9, >=15% 59.3, >=20% 44.4. Panel C: >=5% 98.1,
  >=10% 88.3, >=15% 68.6, >=20% 48.4. Panel A error bars are SE, but numeric mean-change values are
  not printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,6,3090-LB,,"Placebo
  group",,,,,24,Phase 2,3090-LB,figure,"Week 24 responder rates shown
  as labeled values. Panel B: >=5% 22.0, >=10% 8.0, >=15% 2.0, >=20% 0.0. Panel C: >=5% 23.6, >=10%
  8.3, >=15% 2.0, >=20% 0.0. Panel A error bars are SE, but numeric mean-change values are not
  printed.; Body weight efficacy: mean
  percentage change from baseline over time (Panel A) and Week 24 proportion achieving weight-loss
  thresholds (>=5%, >=10%, >=15%, >=20%; Panels B/C), all in %.; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,7,3090-LB,,"UBT251 2.0 mg once-weekly
  s.c.",,13.6,,,24,Phase 2,NCT07177469,abstract,"At week 24, least-square mean
  %WL was 13.6%; all UBT251 doses vs placebo P<0.001.; Percentage weight loss
   (%WL) from baseline to week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,8,3090-LB,,"UBT251 4.0 mg (initial dose 0.5
  mg) once-weekly s.c.",,16.2,,,24,Phase 2,NCT07177469,abstract,"At week 24,
  least-square mean %WL was 16.2%; all UBT251 doses vs placebo P<0.001.; Percentage weight loss
   (%WL) from baseline to week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,9,3090-LB,,"UBT251 4.0 mg
  (initial dose 1.0 mg) once-weekly
  s.c.",,19.7,,,24,Phase 2,NCT07177469,abstract,"At week 24, least-square mean
  %WL was 19.7%; all UBT251 doses vs placebo P<0.001.; Percentage weight loss
   (%WL) from baseline to week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,10,3090-LB,,"UBT251 6.0 mg once-weekly
  s.c.",,18.7,,,24,Phase 2,NCT07177469,abstract,"At week 24, least-square mean
  %WL was 18.7%; all UBT251 doses vs placebo P<0.001.; Percentage weight loss
   (%WL) from baseline to week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
8,11,3090-LB,,"Placebo (pbo) once-weekly
  s.c.",,2,,,24,Phase 2,NCT07177469,abstract,"At week 24, least-square mean %WL
  was 2.0%.; Percentage weight loss
   (%WL) from baseline to week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/3090-LB/168446/3090-LB-UBT251-a-Triple-Hormone-Receptor-Agonist"
9,1,1225-OR,Mazdutide,"Mazdutide 9 mg once weekly (overall
  population)",,-18.5,,,60,Phase 3,GLORY-2,abstract,"Percentage change in
  body weight from baseline at week 60; 85.7% achieved >=5% weight reduction and 44.0% achieved
  >=20%.; Percentage change in body
  weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1225-OR/167122/1225-OR-Efficacy-and-Safety-of-Mazdutide-9-mg-in"
9,2,1225-OR,Mazdutide,"Placebo once weekly (overall
  population)",,-3,,,60,Phase 3,GLORY-2,abstract,"Percentage change in body
   weight from baseline at week 60; 33.2% achieved >=5% weight reduction and 2.6% achieved
  >=20%.; Percentage change in body
  weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1225-OR/167122/1225-OR-Efficacy-and-Safety-of-Mazdutide-9-mg-in"
9,3,1225-OR,Mazdutide,"Mazdutide 9 mg once weekly (participants without
  T2D)",,-20.1,,,60,Phase 3,GLORY-2,abstract,"Percentage change in body
  weight from baseline at week 60 in participants without T2D; 88.2% achieved >=5% weight reduction
  and 48.7% achieved >=20%.; Percentage change in body
  weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1225-OR/167122/1225-OR-Efficacy-and-Safety-of-Mazdutide-9-mg-in"
9,4,1225-OR,Mazdutide,"Placebo once weekly (participants without
  T2D)",,-2.8,,,60,Phase 3,GLORY-2,abstract,"Percentage change in body weight
   from baseline at week 60 in participants without T2D; 32.3% achieved >=5% weight reduction and
  3.1% achieved >=20%; P<0.001 for all comparisons in this
  subgroup.; Percentage change in body
  weight from baseline (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1225-OR/167122/1225-OR-Efficacy-and-Safety-of-Mazdutide-9-mg-in"
10,1,1226-OR,Mazdutide,"Mazdutide 6
  mg",174,48,,,32,Phase 3b,DREAMS-3,figure,"Primary endpoint proportion (%),
  efficacy estimand: 48.0 (95% CI 40.4, 55.7). Treatment-policy estimand: 49.2 (41.4,
  57.0).; Proportion of patients
  achieving both HbA1c <7.0% and weight loss >=10% at week 32 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1226-OR/167125/1226-OR-Mazdutide-vs-Semaglutide-in-Chinese-Adults"
10,2,1226-OR,Mazdutide,"Semaglutide 1
  mg",174,21,,,32,Phase 3b,DREAMS-3,figure,"Primary endpoint proportion (%),
  efficacy estimand: 21.0 (95% CI 14.9, 27.1). Treatment-policy estimand: 20.3 (14.3,
  26.4).; Proportion of patients
  achieving both HbA1c <7.0% and weight loss >=10% at week 32 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1226-OR/167125/1226-OR-Mazdutide-vs-Semaglutide-in-Chinese-Adults"
11,1,1230-OR,Semaglutide,"LLM at baseline: Semaglutide + trevogrumab
  200",47,,,,26,,1230-OR,figure,"LS mean difference vs semaglutide:
  4.30% (95% CI 2.47, 6.13).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,2,1230-OR,Semaglutide,"LLM at baseline: Semaglutide + trevogrumab
  400",36,,,,26,,1230-OR,figure,"LS mean difference vs semaglutide:
  3.69% (95% CI 1.74, 5.64).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,3,1230-OR,Semaglutide,"LLM at baseline: Semaglutide + trevogrumab 400 +
  garetosmab",21,,,,26,,1230-OR,figure,"LS mean difference vs
  semaglutide: 4.55% (95% CI 2.26, 6.84).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,4,1230-OR,Semaglutide,"LLM at baseline:
  Semaglutide",51,,,,26,,1230-OR,figure,"Reference comparator in
  this subgroup; numeric LS mean % change and CI not printed as text.; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,5,1230-OR,Semaglutide,"Without LLM at
  baseline: Semaglutide + trevogrumab
  200",61,,,,26,,1230-OR,figure,"LS mean difference vs semaglutide:
  2.18% (95% CI 0.53, 3.83).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,6,1230-OR,Semaglutide,"Without LLM at baseline: Semaglutide + trevogrumab
  400",60,,,,26,,1230-OR,figure,"LS mean difference vs semaglutide:
  1.95% (95% CI 0.31, 3.59).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,7,1230-OR,Semaglutide,"Without LLM at baseline: Semaglutide + trevogrumab 400 +
  garetosmab",50,,,,26,,1230-OR,figure,"LS mean difference vs
  semaglutide: 4.17% (95% CI 2.45, 5.89).; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,8,1230-OR,Semaglutide,"Without LLM at baseline:
  Semaglutide",60,,,,26,,1230-OR,figure,"Reference comparator in
  this subgroup; numeric LS mean % change and CI not printed as
  text.; LS mean % change from baseline in total lean
   mass; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,9,1230-OR,Semaglutide,"Semaglutide alone (participants with low lean mass at
  baseline)",,-7.1,,,26,"Phase
  2",COURAGE,abstract,"Percent change in lean mass
   from baseline to Week 26; reported as comparator for LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,10,1230-OR,Semaglutide,"Semaglutide +
  trevogrumab 200 mg (participants with low lean mass at
  baseline)",,-2.8,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean
  mass loss vs semaglutide alone in LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,11,1230-OR,Semaglutide,"Semaglutide + trevogrumab 400 mg
  (participants with low lean mass at
  baseline)",,-3.4,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean
  mass loss vs semaglutide alone in LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,12,1230-OR,Semaglutide,"Semaglutide + trevogrumab 400 mg +
  garetosmab 10 mg/kg (triplet) (participants with low lean mass at
  baseline)",,-2.5,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean
  mass loss vs semaglutide alone in LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
